[22/Jan/2025:15:35:28 +0000] - 200 200 - GET http teste.spaceshipnft.com "/" [Client 172.20.0.2] [Length 764] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "-"
[22/Jan/2025:15:35:28 +0000] - 200 200 - GET http teste.spaceshipnft.com "/css/main.css?v=2.12.2" [Client 172.20.0.2] [Length 305815] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:28 +0000] - 200 200 - GET http teste.spaceshipnft.com "/js/main.bundle.js?v=2.12.2" [Client 172.20.0.2] [Length 619589] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/assets/source-sans-pro-v14-latin-ext_latin-regular.woff2" [Client 172.20.0.2] [Length 25656] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/css/main.css?v=2.12.2"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/api/" [Client 172.20.0.2] [Length 61] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/images/favicons/favicon-32x32.png" [Client 172.20.0.2] [Length 2696] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 401 401 - GET http teste.spaceshipnft.com "/api/tokens" [Client 172.20.0.2] [Length 46] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/images/favicons/favicon.ico" [Client 172.20.0.2] [Length 15086] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/login" [Client 172.20.0.2] [Length 788] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/images/favicons/site.webmanifest" [Client 172.20.0.2] [Length 458] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/js/login.bundle.js?v=2.12.2" [Client 172.20.0.2] [Length 214921] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/login"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/images/logo-text-vertical-grey.png" [Client 172.20.0.2] [Length 14281] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/login"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/assets/source-sans-pro-v14-latin-ext_latin-700.woff2" [Client 172.20.0.2] [Length 25348] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/css/main.css?v=2.12.2"
[22/Jan/2025:15:35:29 +0000] - 200 200 - GET http teste.spaceshipnft.com "/images/favicons/site.webmanifest" [Client 172.20.0.2] [Length 458] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/login"
[22/Jan/2025:15:35:56 +0000] - 304 304 - GET http teste.spaceshipnft.com "/login" [Client 172.20.0.2] [Length 0] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36" "https://teste.spaceshipnft.com/"
